player_name,overall_rating,potential,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,position
Abraham Minero,70.0,72.85,73.25,39.7,57.35,66.45,31.75,68.05,72.35,54.7,60.2,69.8,77.45,75.9,76.6,69.3,70.9,66.95,74.0,83.4,72.8,54.3,73.3,69.9,66.4,62.05,56.15,66.4,69.45,68.0,10.15,7.15,6.15,13.15,10.15,DEF
Abraham Paz Cruz,70.29,71.21,52.0,43.0,72.5,64.93,49.5,53.21,68.21,57.79,72.64,64.5,60.5,66.5,53.93,60.21,63.5,61.71,81.07,69.79,75.57,42.0,68.5,70.07,54.71,61.07,66.5,65.93,71.5,76.21,9.0,14.79,29.5,13.79,10.29,DEF
Achille Coser,59.48,60.95,24.14,20.62,26.05,25.0,24.76,25.71,21.29,27.14,33.81,22.0,42.0,42.0,50.14,56.86,32.0,34.29,63.14,35.29,52.43,24.67,33.62,25.0,25.0,31.67,21.71,25.0,25.48,24.76,57.95,58.81,54.67,61.9,62.29,GK
Achille Emana,75.0,75.21,65.93,65.28,63.76,79.45,69.69,74.83,68.28,71.1,70.41,77.93,74.31,65.69,66.21,73.45,75.86,80.31,70.03,55.1,91.14,66.38,72.45,56.9,71.31,80.1,75.62,49.62,67.41,60.76,8.17,16.66,21.83,12.52,13.31,MID
Achille Vaarnold,61.67,73.0,59.0,50.0,40.0,54.0,59.0,68.33,65.0,40.0,48.0,63.0,77.0,82.0,74.0,55.0,77.0,34.0,70.0,55.0,48.0,44.0,44.0,23.0,55.0,55.0,39.0,24.0,23.0,22.0,7.0,6.0,13.0,6.0,15.0,MID
Achraf Lazaar,63.38,73.38,59.58,38.31,54.31,63.88,41.12,64.5,53.42,39.73,60.62,64.92,76.04,74.42,67.88,64.62,73.23,63.96,66.0,75.08,57.77,55.85,67.31,56.65,59.08,53.73,47.5,57.88,61.31,62.77,9.73,10.73,5.73,12.73,12.73,DEF
Adailton,67.88,70.47,40.06,42.94,71.76,58.12,32.47,44.41,27.47,38.06,53.12,54.12,47.12,58.71,55.29,63.65,61.0,68.76,56.18,61.12,80.88,53.35,73.06,59.29,46.29,52.47,54.47,69.29,70.12,55.47,10.18,13.59,25.76,16.18,12.29,DEF
Adalberto Penaranda,68.5,82.29,43.86,73.21,69.43,60.29,52.14,70.36,45.0,43.0,45.57,68.79,76.0,75.71,58.14,66.29,60.0,68.29,61.0,62.57,62.71,65.29,35.0,19.29,64.86,59.0,77.0,20.0,20.0,21.0,6.0,14.0,13.0,8.0,6.0,FW
Adam Armstrong,65.0,82.35,44.76,67.71,57.82,59.24,55.76,64.47,67.76,59.82,55.12,63.47,84.35,84.71,75.76,55.76,85.35,65.0,71.65,71.76,58.35,66.12,48.0,35.76,66.59,51.18,67.76,21.18,18.88,20.76,9.76,12.76,12.76,11.76,6.76,FW
Adam Banas,64.37,66.16,25.0,45.0,69.58,42.63,39.05,54.0,33.0,52.84,49.58,48.89,63.84,61.74,69.84,71.11,62.74,60.47,63.63,72.89,76.68,49.42,67.05,63.84,59.95,48.63,63.95,57.26,67.79,62.79,9.0,10.0,9.0,6.0,11.0,DEF
Adam Bodzek,70.03,72.17,56.86,49.33,67.81,67.5,56.92,58.67,63.86,58.89,67.17,65.83,64.81,62.14,67.75,69.28,67.69,64.39,71.67,78.14,75.44,59.39,78.56,69.5,51.89,61.06,57.33,69.17,72.78,67.89,9.92,14.67,18.5,8.25,10.08,DEF
Adam Bogdan,66.88,76.06,17.62,15.38,15.69,18.5,11.38,15.38,18.62,18.62,23.75,19.62,49.0,48.0,35.0,56.31,39.12,36.38,63.0,34.94,56.56,17.06,20.75,26.12,21.44,23.38,21.12,17.62,15.69,17.0,70.19,63.69,60.5,66.12,70.81,GK
Adam Brown,52.0,65.0,54.0,47.0,35.0,53.0,45.0,58.0,41.0,33.0,49.0,51.0,61.0,69.0,55.0,33.0,72.0,55.0,43.0,53.0,47.0,37.0,30.0,25.0,42.0,51.0,55.0,31.0,25.0,26.0,13.0,13.0,6.0,11.0,14.0,MID
Adam Buksa,55.67,68.67,36.67,57.33,60.22,47.22,49.56,54.22,39.78,32.33,39.33,53.44,57.0,61.0,62.67,47.56,48.0,54.22,67.78,60.67,72.56,45.44,50.44,23.44,54.89,49.11,64.44,20.44,28.11,26.56,6.44,12.44,9.44,5.44,13.44,FW
Adam Campbell,59.64,77.64,38.0,61.73,56.36,54.14,53.45,60.18,40.0,36.09,38.27,57.59,80.0,87.32,73.23,55.55,75.59,53.73,81.0,53.45,49.73,52.64,31.0,15.14,58.45,44.77,65.36,19.59,18.59,13.59,15.0,12.0,15.0,8.0,8.0,FW
Adam Collin,62.21,63.42,23.76,23.3,24.91,25.18,24.33,22.33,23.18,24.64,38.39,23.88,35.79,41.73,43.0,65.0,44.97,32.82,55.0,29.27,62.27,23.58,32.18,25.82,22.55,32.18,23.91,22.45,22.0,24.12,66.12,60.82,59.76,59.03,64.0,GK
Adam Cummins,55.6,67.6,33.6,25.0,64.6,44.6,24.0,37.0,20.8,22.0,25.8,54.6,60.0,53.2,46.0,46.0,42.0,55.0,66.4,56.4,66.2,24.0,51.2,46.8,25.2,28.4,22.0,55.4,56.6,53.6,9.0,8.0,6.0,9.0,13.0,DEF
Adam Danch,63.89,67.72,52.06,27.28,56.17,51.11,30.06,50.28,30.06,27.06,55.61,56.72,66.44,62.11,63.22,46.61,64.22,52.94,79.89,57.89,66.89,32.06,62.39,75.17,55.28,43.06,43.06,67.06,69.06,65.11,8.06,9.06,5.06,14.06,15.06,DEF
Adam Deja,56.27,63.93,44.73,35.93,50.33,64.07,41.87,54.47,34.33,39.33,58.93,58.13,62.07,66.0,54.0,58.27,54.0,58.33,61.53,67.93,74.8,38.87,58.27,46.2,51.87,53.53,43.87,44.73,51.33,53.0,10.33,10.33,13.33,13.33,5.33,MID
Adam Drury,66.29,67.29,61.29,30.24,62.29,66.12,19.18,62.76,60.71,38.29,58.71,72.06,65.59,61.65,60.94,55.82,71.12,38.29,67.47,69.47,73.88,41.71,68.41,68.29,49.53,62.88,55.18,66.35,68.35,68.88,6.41,10.41,29.0,9.53,15.29,DEF
Adam Drury,56.17,69.0,67.0,52.0,52.0,53.0,37.0,61.0,33.17,33.0,48.0,55.0,74.0,78.0,57.0,46.0,63.0,44.0,73.0,52.0,43.0,40.0,25.0,30.67,46.0,40.0,64.0,55.0,37.89,32.78,10.0,7.0,14.0,15.0,7.0,MID
Adam Duda,56.0,62.75,31.5,59.75,58.5,43.0,42.5,54.38,40.0,31.0,29.0,47.88,58.0,57.0,59.5,56.5,55.25,52.88,69.75,58.0,67.0,55.12,44.62,19.5,57.88,45.62,62.0,17.25,18.75,18.5,11.0,13.0,14.0,7.0,6.0,FW
Adam Dzwigala,56.35,67.53,35.0,30.76,63.18,58.24,37.29,37.29,45.24,37.94,56.0,53.94,64.82,68.0,58.53,48.35,64.0,59.59,66.53,73.65,69.24,49.53,56.29,45.06,52.65,48.53,51.82,55.12,57.29,55.94,7.29,5.29,14.29,13.29,12.29,DEF
